t,H2O2,OH,HO2,H2O,O2
32.400000000000006,521324388444475.4,0.0001578418734363237,1580596510366.3745,2749981546165.8345,468769990641.4476
32.6,521325111317333.3,0.00012594366849829505,1577887371573.034,2749981546165.8345,469492863499.31555
32.800000000000004,521325831715439.3,0.00010049745199567172,1575185346746.9219,2749981546165.8345,470213261605.3872
33.0,521326549649514.9,8.019814814674199e-05,1572490408765.02,2749981546165.8345,470931195681.01337
33.2,521327265130223.5,6.40031972226924e-05,1569802530641.876,2749981546165.8345,471646676389.58435
33.400000000000006,521327978168170.8,5.108147865313352e-05,1567121685528.733,2749981546165.8345,472359714336.90936
33.6,521328688773905.5,4.077066378241165e-05,1564447846712.664,2749981546165.8345,473070320071.59503
33.800000000000004,521329396957919.4,3.254305462570494e-05,1561780987615.7144,2749981546165.8345,473778504085.42004
34.0,521330102730647.6,2.5977319962627582e-05,1559121081794.0498,2749981546165.8345,474484276813.7069
34.2,521330806102469.7,2.0737557761646123e-05,1556468102937.1116,2749981546165.8345,475187648635.6916
34.400000000000006,521331507083708.9,1.655599162568569e-05,1553822024866.7778,2749981546165.8345,475888629874.88885
34.6,521332205684633.5,1.3217940680012059e-05,1551182821536.5308,2749981546165.8345,476587230799.45715
34.800000000000004,521332901915456.6,1.0553376547391473e-05,1548550467030.6304,2749981546165.8345,477283461622.5576
35.0,521333595786336.7,8.426484104846732e-06,1545924935563.2964,2749981546165.8345,477977332502.7122
35.2,521334287307378.1,6.728669687105002e-06,1543306201477.8914,2749981546165.8345,478668853544.1598
35.400000000000006,521334976488631.1,5.373288301801626e-06,1540694239246.1157,2749981546165.8345,479358034797.20715
35.6,521335663340092.6,4.291054056732817e-06,1538089023467.1968,2749981546165.8345,480044886258.5832
35.800000000000004,521336347871705.8,3.427001771238086e-06,1535490528867.1292,2749981546165.8345,480729417871.7697
36.0,521337030093361.4,2.737183870016906e-06,1532898730297.8281,2749981546165.8345,481411639527.3706
36.2,521337710014897.5,2.1864755562606397e-06,1530313602736.3071,2749981546165.8345,482091561063.4706
36.400000000000006,521338387646100.0,1.7465177740119917e-06,1527735121284.0886,2749981546165.8345,482769192265.89197
36.6,521339062996702.7,1.3945520335757966e-06,1525163261166.1243,2749981546165.8345,483444542868.6649
36.800000000000004,521339736076388.2,1.1135657011577008e-06,1522597997730.5308,2749981546165.8345,484117622554.14246
37.0,521340406894787.6,8.894991255895266e-07,1520039306447.3445,2749981546165.8345,484788440953.5438
37.2,521341075461481.3,7.108234516049031e-07,1517487162907.9458,2749981546165.8345,485457007647.2042
37.400000000000006,521341741785999.0,5.683604129999222e-07,1514941542824.2974,2749981546165.8345,486123332164.90674
37.6,521342405877833.4,4.5401438407001786e-07,1512402421997.1235,2749981546165.8345,486787423999.2295
37.800000000000004,521343067746376.7,3.6321724840147134e-07,1509869776466.188,2749981546165.8345,487449292542.5829
38.0,521343727401041.5,2.903584832220153e-07,1507343582223.5176,2749981546165.8345,488108947207.39667
38.2,521344384851136.4,2.3224279864895017e-07,1504823815508.93,2749981546165.8345,488766397302.2982
38.400000000000006,521345040105948.5,1.859274243751975e-07,1502310452613.4946,2749981546165.8345,489421652114.4544
38.6,521345693174728.2,1.489583911292002e-07,1499803469916.7778,2749981546165.8345,490074720893.98596
38.800000000000004,521346344066629.9,1.1947619306454393e-07,1497302844025.7366,2749981546165.8345,490725612795.84503
39.0,521346992790828.8,9.553389143172489e-08,1494808551500.4875,2749981546165.8345,491374336994.5907
39.2,521347639356390.6,7.618204434116064e-08,1492320569159.8857,2749981546165.8345,492020902556.5375
39.400000000000006,521348283772359.9,6.066737375404155e-08,1489838873875.8972,2749981546165.8345,492665318525.7793
39.6,521348926047749.7,4.818627755408717e-08,1487363442594.1304,2749981546165.8345,493307593915.63605
39.800000000000004,521349566191474.6,3.831285066350599e-08,1484894252496.8464,2749981546165.8345,493947737640.4745
40.0,521350204212472.8,3.0490159881511455e-08,1482431280709.1062,2749981546165.8345,494585758638.58984
40.2,521350840119569.5,2.4324017505948385e-08,1479974504626.2131,2749981546165.8345,495221665735.3488
40.400000000000006,521351473921585.9,1.9427318764993122e-08,1477523901653.9292,2749981546165.8345,495855467751.74866
40.6,521352105627295.0,1.549748708251463e-08,1475079449312.555,2749981546165.8345,496487173460.9655
40.800000000000004,521352735245387.7,1.237232652857096e-08,1472641125320.1978,2749981546165.8345,497116791553.5622
41.0,521353362784572.8,9.84386852033093e-09,1470208907350.5327,2749981546165.8345,497744330738.67303
41.2,521353988253445.0,7.825875632932034e-09,1467782773351.5142,2749981546165.8345,498369799610.9491
41.400000000000006,521354611660607.1,6.221441883619389e-09,1465362701251.9634,2749981546165.8345,498993206773.03076
41.6,521355233014599.7,4.945584942742844e-09,1462948669129.1914,2749981546165.8345,499614560765.6273
41.800000000000004,521355852323897.8,3.940549994465837e-09,1460540655218.0955,2749981546165.8345,500233870063.7095
42.0,521356469596986.1,3.1400948246762352e-09,1458138637730.1428,2749981546165.8345,500851143152.0405
42.2,521357084842237.8,2.507365454263213e-09,1455742595144.698,2749981546165.8345,501466388403.6958
42.400000000000006,521357698068042.8,2.0007483129158264e-09,1453352505900.5508,2749981546165.8345,502079614208.6701
42.6,521358309282717.0,1.593579840203335e-09,1450968348614.1284,2749981546165.8345,502690828882.9525
42.800000000000004,521358918494526.8,1.2698226439175818e-09,1448590102021.5244,2749981546165.8345,503300040692.6714
43.0,521359525711738.4,1.0093999958826992e-09,1446217744858.2417,2749981546165.8345,503907257904.223
43.2,521360130942512.0,8.031451320110112e-10,1443851256114.4204,2749981546165.8345,504512488677.96985
43.400000000000006,521360734195002.2,6.406056289018349e-10,1441490614794.9016,2749981546165.8345,505115741168.1725
43.6,521361335477383.9,5.096651288679181e-10,1439135799854.9111,2749981546165.8345,505717023549.74725
